fiscal_year,region,revenue_usd_billions
2021,Americas,153.306
2021,Europe,89.307
2021,Greater China,68.366
2021,Japan,28.482
2021,Rest of Asia Pacific,26.356
2022,Americas,169.658
2022,Europe,95.118
2022,Greater China,74.2
2022,Japan,25.977
2022,Rest of Asia Pacific,29.375
2023,Americas,162.56
2023,Europe,94.294
2023,Greater China,72.559
2023,Japan,24.257
2023,Rest of Asia Pacific,29.615
2024,Americas,167.045
2024,Europe,101.328
2024,Greater China,66.952
2024,Japan,25.052
2024,Rest of Asia Pacific,30.658
2025,Americas,178.353
2025,Europe,111.032
2025,Greater China,64.377
2025,Japan,28.703
2025,Rest of Asia Pacific,33.696
